modelo,MAE_train,RMSE_train,R2_train,MAE_test,MSE_test,RMSE_test,R2_test
Regresion_Lineal,10.302999001559316,13.921314735032091,0.9453022039914329,36.06290561696832,2315.246244211062,48.11700576938534,0.40240729840706246
Ridge,12.797231570710334,17.127042778430628,0.9172107233955357,28.788054498490197,1741.5715306896686,41.7321402601121,0.550479592119226
Lasso,11.966935882851987,15.703354454710293,0.9304024117750023,31.890399115915688,1950.8079515864204,44.16795163448742,0.4964731734292198
Gradient_Boosting,19.405576989672397,23.93171437390586,0.8383569841636223,36.73466554703217,2609.547403701883,51.08372934410607,0.3264446549423352
Regresion_Polinomial,0.0003212226107063795,0.000390884022729586,0.9999999999568774,36.95036242293156,2519.681180033039,50.196425968718515,0.34964020034857324
Ridge_Optimizado,,,,28.788054498490197,1741.5715306896686,41.7321402601121,0.550479592119226
Lasso_Optimizado,,,,32.25832373564681,2072.038822525906,45.51965314593144,0.4651820380425048
GB_Optimizado,,,,36.12751267235365,2605.474072231702,51.043844606687905,0.327496030433748
